MOTO,326074,390621
ROGRSTN,326214,189069
KGHN,327000,686900
LEASOWE,327000,390700
KCLD,327524,691647
UPTON,327990,388286
BDSTON,328400,390800
ULVRSTN,328460,477870
CHIRK,328470,337830
HESWALL,328590,381960
WALAGRD,329020,392890
WALASYV,329050,392320
KNIGHTN,329100,272400
FRSHFLD,329110,408250
GLNRTHS,329110,697220
FORMBY,329150,406850
NESTON,329235,377737
AXMNSTR,329260,98225
BCKY,329500,363400
PNYF,329540,361180
BRKNHDN,329790,390256
CWMBRAN,329800,195800
MKIN,329940,701510
PONTYPL,330000,200400
HITN,330020,403680
RUABON,330070,343820
GOBOWEN,330320,333400
HALLRD,330468,400600
NBTN,330480,393914
ABRGVNY,330500,213600
LADYBNK,330600,709600
BLCKPB,330665,432919
HOPC,330700,358300
SHOTTON,330750,368890
NWPTRTG,330780,188245
BRDGWTR,330790,136975
SHOTTHL,330800,369000
SQUIRES,330883,431734
CAERGWL,330950,357240
BRKNHDP,331004,389456
BLCKS,331008,434110
BLCKPLN,331024,436693
CEFNYBD,331060,356230
BLNDLAC,331100,399500
AINSDAL,331101,412224
HAWARDN,331130,365860
HAWDNBG,331140,369500
BRUSTAN,331330,672710
GWRSYLT,331900,353300
NCRAGHA,331947,671655
GRETGRN,331960,567905
WLOO,332030,398070
BRKNCPK,332090,388990
HGHBRDG,332200,147000
BRKNHDC,332205,388427
STAS,332241,429010
LAYTON,332315,438160
HILLSID,332320,414440
ESKBANK,332343,665936
WSMARE,332420,161030
GNLN,332490,387860
SHWFAIR,332682,670176
HAMTSQ,332690,389130
ROCKFRY,332845,386675
WREXHMG,332900,350800
BKDLE,333018,415759
MSELBGH,333050,671690
WREXHMC,333121,350347
NWTGRNG,333175,664275
BEBNGTN,333300,385000
SFRTHAL,333338,397085
PSLT,333660,384060
SOUTHPT,333832,417135
SPITAL,333920,383020
BOOTLOR,333964,394890
BOOTLNS,334040,395642
JAMESST,334150,390230
BRMBRK,334200,381900
SANDH,334220,393030
MORFLDS,334340,390650
MORFNL,334341,390650
BRMB,334359,381001
WMILTON,334465,161465
BNKHALL,334496,393867
GOREBRG,334560,661279
ANSDELL,334601,427689
ESTHRAK,334721,379404
KRKDALE,334926,394240
PLTNLFY,334926,439587
INVGWRE,334930,729870
SPFD,334960,711890
HOOTON,334980,378250
LVRPLCH,335000,390200
LVRPLCL,335001,390200
LVRPLSH,335100,390500
LVRPLSL,335100,390600
BNWK,335173,387821
BKNELL,335577,273680
MEOLSCP,335592,417083
WALTONM,335970,395930
WICK,336065,950885
ORELPKH,336140,396560
RICELA,336200,396100
LYTHAM,336510,427420
CARK,336520,476235
DALSTON,336600,550600
AINTREE,336625,397890
WALLYFD,336700,672380
STMCHLS,336710,386950
WORLE,336760,162500
OLDROAN,336990,399330
EDGH,337170,389950
LTLSUTN,337210,376920
CPNHRST,337240,374100
CUPAR,337700,714300
FAZKRLY,337916,397336
MSSD,337940,430260
HOPTONH,338030,277435
MAGHULL,338360,401490
AIGBURT,338400,385700
OPOL,338490,376740
WVRTTEC,338741,390216
MSLH,339200,387300
PPAN,339230,673770
CRSNGTN,339400,385040
BESCRLA,339605,414535
KTBK,339700,475630
WALERTN,339750,386190
BROOME,339900,280900
TOWNGRN,340160,405510
KKBY,340190,399210
CARLILE,340240,555500
DUNDETB,340242,729793
HEYMST,340290,460070
ELSMPRT,340330,376510
BACHE,340545,368340
BROADGR,340699,390337
AGHTNPH,340790,406775
LVRPSPY,340920,384909
ALERTN,340921,384909
GOVS,341200,478150
CHST,341335,366985
WMER,341420,498610
ORMSKRK,341740,408435
KIRKHAM,341925,432650
YATTON,342500,166100
NEWLANE,342690,413140
KEITH,343000,851600
HUNTSX,343139,385212
CRAVENA,343175,283060
ROBY,343200,390700
MORCAME,343210,464170
STNLWAT,343950,376040
HUYTON,344060,390650
BRSCGHB,344457,412406
BRSCGHJ,344465,411545
LNGNDRY,344660,676300
HALW,344856,385611
LEUCHRS,344900,720670
CRKRN,345320,108515
BARELA,345439,464613
CSTR,345585,293588
INEL,345650,375825
STOW,345662,644668
ARNSIDE,346070,478870
SEVTNLJ,346200,187600
SALWICK,346260,432000
BRFRY,346300,730900
RUFDORD,346680,415630
WETHERL,346740,554660
HOSCAR,346860,411545
STAVELY,346905,498090
PRESCOT,346990,392160
WHISTON,347160,391080
LANCSTR,347230,461720
CDCOT,347400,187600
SDAL,347620,475200
RNFD,347750,402560
NAILSEA,347900,169200
ECPK,348270,392950
BALMOSS,348417,731698
HOUGHGR,348530,386450
HELSBY,348670,375635
CROT,348710,419290
PARBOLD,349080,410740
RHIL,349160,391420
GALASLS,349278,636380
SHRWBY,349445,312960
THHT,349650,393580
CRNF,349700,470700
MONIFTH,349700,732300
LEOMNST,350210,258860
BNSD,350270,495765
YORTON,350454,323744
ARMTHWT,350475,546340
RUNCORN,350874,382676
UPHOLND,350950,403780
DREMJ,351080,679410
PNTH,351145,529900
MLDSWTH,351220,370780
WIDNES,351300,387100
LUDLOW,351335,275045
HEREFRD,351543,240546
AVONMTH,351544,178168
STHLNSC,351600,395400
WEMM,351750,329010
SADWRD,351776,179546
FRDSHM,351870,377895
LEGR,351924,392469
KENDAL,352000,493200
TWDBANK,352246,634943
APLYBDG,352475,409360
SHAMPTN,352929,176374
ORRELL,353111,403973
OXENHLM,353125,490165
PRST,353409,429177
HNTL,353537,839618
STHLNSJ,353574,393222
CHEPSTW,353600,193700
PREES,353705,333763
SVRNBCH,354033,184781
GATHRST,354100,407200
BRRYLNK,354200,733700
NBERWCK,354590,685150
LEYLAND,354730,422710
LSTH,354735,425535
LAZKRKO,354835,539725
SEMILLS,354961,175871
WCHR,354985,341400
BRMPTNC,355055,559972
GARW,355500,399300
DELAMER,355600,370400
PBRT,355662,403959
EUXT,355688,418431
RUNCRNE,355760,381390
GOLFSTR,355800,734200
CHORBUK,356441,419855
BMBRBDG,356500,425810
CNST,356600,734500
PILNING,356620,184380
SANKEY,356840,388600
YOVILPM,357000,116300
YOVILJN,357050,114100
BRYN,357165,400547
LWBY,357320,533460
CLFDOWN,357600,174130
ERLSTWN,357750,395120
PARSNST,357849,170655
WIGANNW,358133,405411
WIGANWL,358140,405540
REDLAND,358480,174550
CHORLEY,358666,417520
BDMNSTR,358800,171400
MONPELR,359205,174540
NWTNLW,359350,395320
THFORD,359390,112505
INCE,359570,404870
BRSTLTM,359700,172400
YTMNSTR,359745,110855
CHETNOL,359778,107585
ACBG,359870,374560
MDNNWTN,359950,97980
WRGTNBQ,360033,387854
CUDNGTN,360100,371600
WRENBRY,360120,347065
ADNL,360200,413135
WRGT,360650,388495
STPLTNR,360765,174434
LAWRNCH,360881,173377
FILTNEW,361060,178595
PATCHWY,361060,180930
WENNGTN,361700,469920
HINDLEY,361960,405220
BLRD,362400,410700
BRSTPWY,362474,179570
INSCH,362950,827610
PADGATE,363080,390030
HARTFD,363150,371780
LYDNEY,363420,201845
CCARY,363490,133520
ARBROTH,363900,741000
SHERBRN,364050,116190
PLSNGTN,364200,426200
HORWICH,364365,409192
GBNK,364450,372850
WELNGTN,365150,311640
BIRCHWD,365180,390785
NANTWCH,365320,351940
WSTHOTN,365402,406688
KEYNSHM,365631,168890
CHTR,365900,426400
DAISYH,365910,404880
BNTHAM,366715,468970
NTHWICH,366950,373943
MLHL,367000,426680
WNSFD,367050,366050
UPWEY,367140,83280
HAGFOLD,367300,404247
LOSTCKP,367367,408594
WEYMTH,367960,79610
DUNBAR,368080,678490
ATHERTN,368347,403716
BLKB,368500,427900
RMSWILP,368590,431600
APBY,368640,520680
BRUTON,368800,134800
DRCHW,368850,90240
LSTG,369070,374620
DRCHS,369223,90053
DARWEN,369400,422500
GLAZBRK,369555,392495
OAKNGTS,369670,310730
YATE,370100,182500
TELFRDC,370285,309359
HLTWHST,370420,563790
LGHO,370550,434375
TMPCMB,370785,122540
LDBURY,370890,238625
CREWE,371100,354800
MONTRSE,371200,758000
IRLAM,371315,393146
LRNCKRK,371670,771750
BOLTON,371900,408700
PLUMLEY,372112,375381
RISHTON,372400,429800
ENTWISL,372700,417800
HITW,372757,411285
BRMCRSS,372914,413133
WHALLEY,372960,436495
CLPM,373265,467800
MSGT,373520,406670
OLDFLDP,373614,164533
SBCH,373780,361520
WALKDEN,373820,402640
CLITHRO,374170,441990
CHOS,374300,428310
FRNW,374400,406000
FLIXTON,374575,394184
SHIFNAL,374950,307660
KEARSLY,375240,405343
BATHSPA,375248,164353
DURSLEY,375290,202160
KNUTSFD,375320,378380
CLWALL,375635,242450
CHASNRD,375640,394440
ACRNGTN,375730,428575
KSTP,376200,506670
PTRCRFT,376325,398733
DENT,376425,487480
RIBLHED,376560,478960
URMSTON,376600,394670
HCHP,376640,366930
MRSD,376770,402235
HALE,376990,386930
